,precision,recall,f1-score,support
NORMAL,0.9895287958115183,0.8076923076923077,0.8894117647058823,234
PNEUMONIA,0.8960739030023095,0.9948717948717949,0.9428918590522479,390
accuracy,0.9246794871794872,0.9246794871794872,0.9246794871794872,0
macro avg,0.9428013494069138,0.9012820512820513,0.9161518118790651,624
weighted avg,0.9311194878057628,0.9246794871794872,0.9228368236723609,624
